epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.8204969167709351,0.0010000000474974513,0.6120054125785828,0.10000000149011612,2.735628128051758
1,0.9807453155517578,0.0010000000474974513,0.10947303473949432,0.11086956411600113,3.572462797164917
2,0.9872670769691467,0.0010000000474974513,0.07358410954475403,0.2239130437374115,3.651444435119629
3,0.9897515773773193,0.0010000000474974513,0.064097560942173,0.22608695924282074,3.63863205909729
4,0.9903726577758789,0.0010000000474974513,0.06437958776950836,0.2869565188884735,2.66081166267395
5,0.991304337978363,0.0010000000474974513,0.05739625170826912,0.4630434811115265,2.255620241165161
6,0.9888198971748352,0.0010000000474974513,0.0599919855594635,0.7130434513092041,0.7452166080474854
7,0.991304337978363,0.0010000000474974513,0.05746644735336304,0.852173924446106,0.3913481533527374
8,0.9919254779815674,0.0010000000474974513,0.055209316313266754,0.9652174115180969,0.12166287004947662
9,0.9900621175765991,0.0010000000474974513,0.055704791098833084,0.9826086759567261,0.07698838412761688
10,0.9972049593925476,0.0010000000474974513,0.039959199726581573,1.0,0.032554127275943756
11,0.9990683197975159,0.0010000000474974513,0.03347838670015335,0.9826086759567261,0.0721421092748642
12,0.9993788599967957,0.0010000000474974513,0.0321073941886425,1.0,0.03310782462358475
13,0.9959627389907837,0.0010000000474974513,0.045526232570409775,1.0,0.03559402748942375
14,0.9981366395950317,0.0010000000474974513,0.03643187880516052,0.997826099395752,0.03338273614645004
15,0.9987577795982361,0.0010000000474974513,0.03241908550262451,0.95652174949646,0.15193195641040802
16,0.9996894598007202,0.0005000000237487257,0.030055223032832146,0.997826099395752,0.03190562501549721
17,1.0,0.0005000000237487257,0.02775399573147297,0.9934782385826111,0.03971267491579056
18,1.0,0.0005000000237487257,0.02735464833676815,0.997826099395752,0.028993280604481697
19,1.0,0.0005000000237487257,0.026861419901251793,1.0,0.027391402050852776
20,1.0,0.0005000000237487257,0.026464883238077164,1.0,0.026705387979745865
21,1.0,0.0005000000237487257,0.02608121559023857,0.997826099395752,0.02792946808040142
22,1.0,0.0005000000237487257,0.025834297761321068,0.997826099395752,0.028365464881062508
23,1.0,0.0005000000237487257,0.025551624596118927,1.0,0.026151850819587708
24,1.0,0.0005000000237487257,0.025234106928110123,1.0,0.025935228914022446
25,1.0,0.0005000000237487257,0.024780327454209328,1.0,0.02533913217484951
